Advertising
Car and truck expenses
Commissions and fees
Contract labor
Depletion
Depreciation and section 179 expense deduction
Employee benefit programs
Insurance (other than health)
"Mortgage interest paid to banks, etc."
Other interest
Legal and professional services
Office expenses
Pension and profit-sharing plans
"Rent or lease: vehicles, machinery, and equipment"
Rent or lease: other business property
Repairs and maintenance
Supplies
Taxes and licenses
Travel
Meals and entertainment
Utilities
Wages
Other expenses
